Building,Date,ExpId,SSID,Addr,RSSI
premier,02_06_2021,15,P.H. EST PARMI NOUSb,6ec7ece83154,-53

premier,02_06_2021,15,uhab,3890a5600b40,-65

premier,02_06_2021,15,eduroamb,3890a5600b41,-65

premier,02_06_2021,15,telephoneb,3890a5600b42,-65

premier,02_06_2021,15,eduroamb,3890a5298a01,-89

premier,02_06_2021,15,telephoneb,3890a5298a02,-89

premier,02_06_2021,15,uhab,3890a5298a00,-90

premier,02_06_2021,15,uhab,3890a54ca360,-91

premier,02_06_2021,15,eduroamb,3890a54ca361,-91

premier,02_06_2021,15,telephoneb,3890a54ca362,-92

premier,02_06_2021,15,P.H. EST PARMI NOUSb,6ec7ece83154,-51

premier,02_06_2021,15,uhab,3890a5600b40,-64

premier,02_06_2021,15,eduroamb,3890a5600b41,-65

premier,02_06_2021,15,telephoneb,3890a5600b42,-65

premier,02_06_2021,15,eduroamb,3890a5298a01,-89

premier,02_06_2021,15,telephoneb,3890a5298a02,-90

premier,02_06_2021,15,uhab,3890a5298a00,-91

premier,02_06_2021,15,uhab,3890a54ca360,-91

premier,02_06_2021,15,eduroamb,3890a54ca361,-91

premier,02_06_2021,15,telephoneb,3890a54ca362,-91

premier,02_06_2021,15,P.H. EST PARMI NOUSb,6ec7ece83154,-52

premier,02_06_2021,15,uhab,3890a5600b40,-64

premier,02_06_2021,15,eduroamb,3890a5600b41,-64

premier,02_06_2021,15,telephoneb,3890a5600b42,-64

premier,02_06_2021,15,eduroamb,3890a5298a01,-89

premier,02_06_2021,15,telephoneb,3890a5298a02,-89

premier,02_06_2021,15,eduroamb,3890a54ca361,-90

premier,02_06_2021,15,uhab,3890a5298a00,-91

premier,02_06_2021,15,telephoneb,3890a54ca362,-91

premier,02_06_2021,15,uhab,3890a54ca360,-92

premier,02_06_2021,15,P.H. EST PARMI NOUSb,6ec7ece83154,-53

premier,02_06_2021,15,uhab,3890a5600b40,-64

premier,02_06_2021,15,eduroamb,3890a5600b41,-64

premier,02_06_2021,15,telephoneb,3890a5600b42,-64

premier,02_06_2021,15,eduroamb,3890a5298a01,-88

premier,02_06_2021,15,uhab,3890a5298a00,-89

premier,02_06_2021,15,telephoneb,3890a5298a02,-90

premier,02_06_2021,15,uhab,3890a54ca360,-91

premier,02_06_2021,15,eduroamb,3890a54ca361,-91

premier,02_06_2021,15,telephoneb,3890a54ca362,-91

premier,02_06_2021,15,P.H. EST PARMI NOUSb,6ec7ece83154,-54

premier,02_06_2021,15,uhab,3890a5600b40,-64

premier,02_06_2021,15,eduroamb,3890a5600b41,-64

premier,02_06_2021,15,telephoneb,3890a5600b42,-64

premier,02_06_2021,15,telephoneb,3890a5298a02,-88

premier,02_06_2021,15,eduroamb,3890a5298a01,-89

